Time   |   Music                                             |    Animation
0:00   |   Loops start                                       |  Satellites flying through space, quite floaty
       |                                                     |  Suns rising over some planets
       |                                                     |  views of planets rising from surfaces of moons
       |                                                     |  Views of nebulae, y'know, general space shit
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
0:10   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
0:20   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Sam + Jeff                                       |  Satellite flies past planet currently in view very fast
       |                                                     |
0:30   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     | planet fades to...
       |                                                     |
0:40   |    Jamie                                            |  Megacorp logo, self congratulatory email starts scrolling behind
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
0:50   |                                                     |
       |    Verse starts                                     |
       |                                                     |   Person 1 in boardroom looking out window onto dystopian city, blinds open 
       |                                                     |   innocuous countdown in corner, not too noticeable, megacorp logo in room
       |                                                     |   somewhere
       |    Don't wanna be bored                             |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
1:00   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Don't wanna be bought                            |  Hover cars fly past window
       |                                                     |  
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
1:10   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Chorus 1                                         |
       |                                                     |  Satellite floating in space, with stars behind
       |    I will wait for you                              |
       |                                                     |
       |                                                     |
       |                                                     |
1:20   |   Through layman's escapology                       |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Feeling ostracised                               |  Zooms out to show image is on computer screen, some chart replaces it
       |                                                     |
1:30   |                                                     |
       |    Escape velocity                                  |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Riffy                                            | Satellite flies past planet super-quick
       |                                                     | 
       |                                                     |
1:40   |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |    Verse 2 w. Drum machine                          |  Person 2 in boardroom, blinds closed, person not too happy
       |                                                     | 
1:50   |    Don't want to be yours                           |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
       |                                                     |
